session_id,target
1,2.2794941317580526e-05
2,1.766231532581283e-08
3,3.731776849775672e-09
4,5.1778366337991735e-08
5,3.363788459421324e-06
6,3.4994958610693575e-05
7,1.7064762811984048e-07
8,0.00017872727230647647
9,4.17486182925937e-05
10,0.011224220274730216
11,3.5868016121105233e-05
12,7.4633854330897825e-06
13,5.066631049620398e-05
14,0.012536310570685074
15,2.9910493234940074e-05
16,0.00016529300645094606
17,0.04079712099926768
18,3.705889721832953e-06
19,0.0009663469955381089
20,5.599653646373781e-07
21,0.005531236843612172
22,3.493252035229933e-08
23,1.5237033936491922e-05
24,0.00016006506505263698
25,0.00044414378511039047
26,3.482990517418062e-07
27,5.388705643855957e-05
28,3.7647925742209784e-09
29,0.0019195156967133056
30,0.00014936833697452815
31,0.15433421462895214
32,0.10918111677093194
33,7.949137249947945e-05
34,2.066370991325945e-06
35,0.0010414864619214255
36,1.0169466861345852e-06
37,4.487650564058688e-10
38,1.7270355653025773e-07
39,3.798486077763754e-05
40,1.8038970368001756e-06
41,0.0021449521356584926
42,0.00020474109541102677
43,2.4493075208928435e-05
44,2.9060972434314574e-07
45,0.404109533119002
46,2.917762203314036e-05
47,4.891975307516502e-05
48,1.0666265502265092e-06
49,9.2674095937249e-05
50,4.315803083305251e-06
51,1.1177596863308217e-08
52,7.804832249824832e-06
53,0.002138949725882437
54,1.2898442962182299e-06
55,0.00042316607753306406
56,6.858159807654592e-05
57,7.550504750193568e-09
58,5.120063140262117e-07
59,1.346218605781443e-06
60,1.8603110170537676e-08
61,6.403791370349346e-06
62,0.00035562029821865047
63,5.751493092098623e-08
64,0.00018403170628005712
65,2.2516434685543076e-05
66,4.445955164938037e-07
67,0.0007527402852483017
68,0.016004323014756405
69,0.00015443827134325113
70,1.3867985306939308e-05
71,0.00306648664015892
72,1.9993995727641568e-05
73,0.016153297551768572
74,8.733192384195038e-08
75,7.571846266112289e-07
76,1.9805132657115064e-05
77,2.449294808290698e-05
78,0.0008402564674499641
79,8.716833634580604e-08
80,1.1516125147988414e-06
81,3.971963067351246e-06
82,1.5873295497632747e-05
83,7.776121585975613e-09
84,0.6859422929536152
85,0.0001659598586358127
86,6.306915542086338e-06
87,0.0016757941596870704
88,1.333345985277721e-05
89,1.7821375618818683e-05
90,0.05534542357682854
91,2.3216308101160225e-05
92,3.497351406117047e-07
93,0.09793315891658025
94,1.9712196106568864e-05
95,0.001425456407435526
96,4.9621877087954634e-08
97,0.0010836835380752647
98,5.671511933843674e-06
99,2.702737640640906e-07
100,3.1707856414940585e-05
101,3.8637712824190563e-07
102,0.0021784739457234373
103,4.457512732158132e-05
104,0.0002556911997446593
105,5.084485478278828e-06
106,6.249878722670633e-05
107,0.00011290950461677466
108,3.81786596770393e-05
109,3.606574145761315e-06
110,1.3146301128636398e-05
111,8.878308447865447e-06
112,3.0030472663079814e-08
113,0.0005037007079646553
114,1.5037717349567782e-06
115,6.541998929960391e-07
116,1.7551860027524672e-06
117,0.00010942106517348546
118,6.455158819344504e-05
119,1.9304485225346028e-05
120,0.00010190708587880773
121,5.404249849553047e-06
122,9.323014069736291e-07
123,5.6164223153259996e-05
124,0.0004914954259304054
125,0.009613718448018827
126,3.1256003705112785e-08
127,9.730385207096945e-10
128,1.66708397506237e-05
129,7.441504794420474e-06
130,0.0011677118243358239
131,0.00022641034319893522
132,1.9561255987672467e-05
133,0.006516874674024534
134,8.552977702798914e-05
135,1.6593729517221133e-06
136,2.2336648787082666e-05
137,9.250681808462056e-06
138,0.00013750052668362093
139,5.890820628735399e-07
140,5.852269566034224e-05
141,1.4805264347397097e-08
142,0.00031511359514133997
143,5.947596235735046e-05
144,0.00011915839151040951
145,1.3494115489776672e-08
146,0.00012367538373042698
147,1.343481113387589e-06
148,0.021696043289218085
149,8.891489420344545e-06
150,0.30884670491432137
151,3.212131840121973e-07
152,0.020038853208301604
153,6.683691511718397e-05
154,0.0021679317771197697
155,0.0002199552184091969
156,1.838370316395533e-06
157,1.3738123740382413e-06
158,0.00027078161411800964
159,3.3008512541277038e-06
160,5.526913696680869e-07
161,0.022328977477820023
162,5.067918638917057e-06
163,0.00013389735035865207
164,2.8050148484484924e-06
165,6.593174887867452e-10
166,1.8669278839990242e-05
167,0.012986431801483504
168,8.891489420344545e-06
169,1.0105148449698264e-05
170,0.00016016840740013566
171,5.86469598563314e-07
172,0.0035522117420486053
173,0.0006311083824099191
174,8.479413467493328e-06
175,0.23155656481138243
176,0.008002818488999572
177,0.0010599129188839916
178,2.7202183888430655e-05
179,1.1225840098931e-06
180,2.6031817728176776e-05
181,2.7142860517290416e-06
182,7.748706716741106e-05
183,1.4001252363351916e-05
184,1.3368849246286468e-07
185,7.095152949674717e-05
186,3.248936499853042e-05
187,3.0050069543902346e-09
188,5.352920335310607e-08
189,0.00011472280760560571
190,0.00017134164895021465
191,4.002294067540303e-06
192,3.904686417584855e-05
193,0.014416186443281343
194,0.0006020890742117959
195,9.38479236712712e-06
196,6.392337316535516e-08
197,0.0003280237494011475
198,0.0005711589569764777
199,0.0002868621142693914
200,5.092265202223524e-06
201,5.987232493289441e-07
202,0.009438963422148583
203,5.272386772463654e-08
204,0.001108482776189234
205,0.0009233578232292611
206,9.66999331268632e-10
207,2.6443683642234274e-05
208,0.0006172446546075742
209,6.161031952140804e-08
